id,system,composition_wt,process_note,UTS_MPa,IACS_pct,kappa_est_WmK,source_short,quality_flag
1,Cu,OFHC Cu,annealed,220,101,401,handbook,solid
2,Cu,OFHC Cu,hard drawn,430,97,385,handbook,solid
3,CuCrZr,Cu-0.9Cr-0.1Zr (C18150),solutionize+age (commercial),500,85,337,C18150 datasheets (Nifty/Lamifil),solid
4,CuFe,Cu-14Fe,drawn + heat treatment A,907,54.3,216,Metall. Mater. Trans. A (10.1007/s11661-015-2791-x),solid
5,CuFe,Cu-14Fe,drawn + heat treatment B,745,57.4,228,Metall. Mater. Trans. A (10.1007/s11661-015-2791-x),solid
6,CuFe,Cu-5Fe,cold rolled,560,65,258,Mater. Sci. Eng. A 2022 (S0921509322008711),solid
7,CuFe,Cu-50Fe,cold rolled,1250,33,131,Mater. Sci. Eng. A 2022 (S0921509322008711),solid
8,CuFe,Cu-40Fe (PM),powder route + drawn wire,1140,51,203,PMC10416160,solid
9,CuNb,Cu-33Nb,deformation-processed microcomposite,1200,61,242,J. Appl. Phys. 132 045105 (2022) + multicore refs,solid
10,CuNb,Cu-18Nb,heavily drawn,2000,35,139,DPMMC reviews (approx.),approx
11,CuAg,Cu-24Ag,cold drawn + intermediate HTs,1500,65,258,Acta Mater. (S1359645496002480),solid
12,CuAg,Cu-6Ag,cold drawn + intermediate HTs,1000,80,318,Cu-6Ag high-field magnet dev.,solid
